Ozone,Solar.R,Wind,Temp,Month,Day
NA,NA,14.3,56,5,5
28,NA,14.9,66,5,6
NA,194,8.6,69,5,10
7,NA,6.9,74,5,11
NA,66,16.6,57,5,25
NA,266,14.9,58,5,26
NA,NA,8,57,5,27
NA,286,8.6,78,6,1
NA,287,9.7,74,6,2
NA,242,16.1,67,6,3
NA,186,9.2,84,6,4
NA,220,8.6,85,6,5
NA,264,14.3,79,6,6
NA,273,6.9,87,6,8
NA,259,10.9,93,6,11
NA,250,9.2,92,6,12
NA,332,13.8,80,6,14
NA,322,11.5,79,6,15
NA,150,6.3,77,6,21
NA,59,1.7,76,6,22
NA,91,4.6,76,6,23
NA,250,6.3,76,6,24
NA,135,8,75,6,25
NA,127,8,78,6,26
NA,47,10.3,73,6,27
NA,98,11.5,80,6,28
NA,31,14.9,77,6,29
NA,138,8,83,6,30
NA,101,10.9,84,7,4
NA,139,8.6,82,7,11
NA,291,14.9,91,7,14
NA,258,9.7,81,7,22
NA,295,11.5,82,7,23
78,NA,6.9,86,8,4
35,NA,7.4,85,8,5
66,NA,4.6,87,8,6
NA,222,8.6,92,8,10
NA,137,11.5,86,8,11
NA,64,11.5,79,8,15
NA,255,12.6,75,8,23
NA,153,5.7,88,8,27
NA,145,13.2,77,9,27
