date,open,high,low,close,Volume.BTC,tradecount
2021-07-15T00:00:00Z,32820.03,32881,32716.8,32797.79,273.493132,7625
2021-07-14T23:00:00Z,32959.97,32974.44,32681,32820.02,1046.755431,24603
2021-07-14T22:00:00Z,32852.24,33063.82,32739.28,32959.96,1238.849836,31664
2021-07-14T21:00:00Z,32800.41,32940,32800.4,32852.23,904.311945,36317
2021-07-14T20:00:00Z,32729.77,32869.58,32708,32800.41,875.491942,22900
2021-07-14T19:00:00Z,32743.96,32798.62,32564.44,32729.76,1277.374208,46916
2021-07-14T18:00:00Z,32832.99,33114.03,32671.03,32743.96,2197.274629,55433
2021-07-14T17:00:00Z,32838.26,32911.79,32774.99,32832.99,1049.677139,25545
2021-07-14T16:00:00Z,32786.01,32902.89,32665.14,32833.88,1468.247412,34302
2021-07-14T15:00:00Z,32863.07,32938.99,32733.83,32786,1800.053298,44178
2021-07-14T14:00:00Z,32784,32959.21,32700,32863.07,2699.267531,62393
2021-07-14T13:00:00Z,32313.18,32899.99,32313.18,32784,3314.062604,70605
2021-07-14T12:00:00Z,32450.95,32517,32280,32313.18,1475.365857,64857
2021-07-14T11:00:00Z,32427.59,32562.48,32366.34,32451.99,1396.545268,34522
2021-07-14T10:00:00Z,32330,32707.27,32260.83,32427.58,2759.771893,47118
2021-07-14T09:00:00Z,31751.48,32500,31550,32327.7,5200.598484,105195
2021-07-14T08:00:00Z,31920.01,31996,31702.92,31751.48,1637.104228,53625
2021-07-14T07:00:00Z,31829.03,32000,31825.56,31920.01,1452.029555,32289
2021-07-14T06:00:00Z,31807.01,31942.35,31754.55,31835.47,1632.80381,32235
2021-07-14T05:00:00Z,31932.74,31993.61,31655.83,31807.01,2234.653488,41877
2021-07-14T04:00:00Z,31830.01,32015.98,31782,31930.12,1714.340347,35646
2021-07-14T03:00:00Z,32545.42,32583.99,31650.61,31830.01,4646.773245,93993
2021-07-14T02:00:00Z,32374.07,32570.96,32342.91,32545.43,1016.266305,24615
2021-07-14T01:00:00Z,32421.69,32497.99,32251.31,32376.2,1913.138284,56713
2021-07-14T00:00:00Z,32729.12,32807.41,32351,32421.69,1827.066745,45588
2021-07-13T23:00:00Z,32582.69,32750,32522.3,32729.77,960.881424,25037
2021-07-13T22:00:00Z,32589.11,32630,32426.88,32582.69,1017.318622,38724
2021-07-13T21:00:00Z,32509.23,32646.09,32400.21,32589.11,1129.828156,29501
2021-07-13T20:00:00Z,32309.69,32559.05,32202.25,32507.07,1602.71993,79860
2021-07-13T19:00:00Z,32480,32631.22,32231.42,32309.69,2779.651182,55683
2021-07-13T18:00:00Z,32768.73,32768.74,32470.64,32479.99,1341.096471,40845
2021-07-13T17:00:00Z,32817.77,32956.26,32631.26,32772.98,1335.295319,27871
2021-07-13T16:00:00Z,32791.71,32887.9,32630,32817.77,1351.45857,32624
2021-07-13T15:00:00Z,32569,32870,32530.96,32790.08,2010.817114,39230
2021-07-13T14:00:00Z,32571.76,32630,32461,32569,1558.972447,30183
2021-07-13T13:00:00Z,32352.61,32653.72,32285.71,32571.77,3016.488088,78382
2021-07-13T12:00:00Z,33042.61,33049,32280,32352.61,5795.28745,91064
2021-07-13T11:00:00Z,33093.04,33193.75,32912.29,33042.61,1626.911541,52851
2021-07-13T10:00:00Z,33273.01,33340,33040.02,33093.22,1652.97434,28533
2021-07-13T09:00:00Z,33222.15,33292.7,33108.19,33273,1335.271077,38795
2021-07-13T08:00:00Z,33180.11,33261.2,33101.57,33223.88,1167.769767,33397
2021-07-13T07:00:00Z,32966.31,33333.33,32966.31,33180.08,2260.995638,36608
2021-07-13T06:00:00Z,32817.42,33090.29,32815.15,32966.31,1318.073844,28408
2021-07-13T05:00:00Z,33118.22,33150,32742.01,32817.42,2222.409953,45132
2021-07-13T04:00:00Z,33071.13,33170.29,33034.54,33118.22,694.618447,19120
2021-07-13T03:00:00Z,33076.13,33229,33061.95,33071.14,1003.789452,18148
2021-07-13T02:00:00Z,33156.97,33209.27,33060.64,33076.13,1020.806734,19021
2021-07-13T01:00:00Z,33059.96,33206.51,32942.04,33156.97,1045.960288,23396
2021-07-13T00:00:00Z,33086.94,33222.22,32830.98,33059.99,1876.965154,43640
2021-07-12T23:00:00Z,33038.1,33284.99,32973.21,33086.63,1508.94588,28781
2021-07-12T22:00:00Z,32867.95,33098.43,32857,33038.1,1596.34146,30522
2021-07-12T21:00:00Z,32848.75,32990.52,32816.87,32867.95,1284.594061,28518
2021-07-12T20:00:00Z,32822.85,32989.61,32658.34,32848.75,2794.087632,44779
2021-07-12T19:00:00Z,33010.27,33358.17,32750,32822.85,2955.237037,56470
