date,geoid,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2021-03-01,USA,56696,67040.16,20.2,1425,1928.49,0.58
2021-03-02,USA,57644,65111.18,19.62,1306,1948.7,0.59
2021-03-03,USA,66612,63819.53,19.23,2369,1898.67,0.57
2021-03-04,USA,67282,62256.53,18.76,1949,1860.24,0.56
2021-03-05,USA,65695,60366.28,18.19,2483,1803.18,0.54
2021-03-06,USA,56585,59576.03,17.95,1459,1799.7,0.54
2021-03-07,USA,40064,58260.17,17.56,676,1706.02,0.51
2021-03-08,USA,94513,57214.09,17.24,820,1636.54,0.49
2021-03-09,USA,55899,56791.52,17.12,1885,1558.79,0.47
2021-03-10,USA,58195,55954.34,16.86,1474,1462.06,0.44
2021-03-11,USA,62387,55204.77,16.64,1524,1413.45,0.43
2021-03-12,USA,64166,54963.7,16.56,1705,1358.23,0.41
2021-03-13,USA,49557,53964.87,16.26,1874,1313.35,0.4
2021-03-14,USA,37989,53628.77,16.16,569,1269.01,0.38
2021-03-15,USA,57164,54195.62,16.33,749,1244.25,0.37
2021-03-16,USA,54531,54147.91,16.32,1245,1178.25,0.36
2021-03-17,USA,58931,54282.28,16.36,1177,1154.99,0.35
2021-03-18,USA,60470,54133.51,16.31,1558,1113.72,0.34
2021-03-19,USA,60623,53560.65,16.14,1514,1087.01,0.33
2021-03-20,USA,54425,54366.51,16.38,772,1041.3,0.31
2021-03-21,USA,34193,53981.37,16.27,448,1018.7,0.31
2021-03-22,USA,54716,53964.79,16.26,648,998.16,0.3
2021-03-23,USA,56746,54307.78,16.37,893,980.76,0.3
2021-03-24,USA,79903,57290.38,17.27,1590,1008.95,0.3
2021-03-25,USA,69116,58244.14,17.55,1270,1008.3,0.3
2021-03-26,USA,74499,60295.75,18.17,1260,980.6,0.3
2021-03-27,USA,60700,61243.07,18.46,780,979.26,0.3
2021-03-28,USA,44515,62695.43,18.89,490,979.86,0.3
2021-03-29,USA,70739,64983.71,19.58,685,985.91,0.3
2021-03-30,USA,62234,65844.86,19.84,947,1005.21,0.3
2021-03-31,USA,67936,64064,19.31,1135,954.53,0.29
2021-04-01,USA,77193,65452.43,19.73,957,911.14,0.27
2021-04-02,USA,68589,64970.43,19.58,956,870.61,0.26
2021-04-03,USA,64136,65518.86,19.75,753,864.3,0.26
2021-04-04,USA,36823,64534.16,19.45,272,839.14,0.25
