transaction_id,product_id,user_id,spend,transaction_date
4,1062,OO2049,$75.15,2022-10-12
64,1035,SQ2017,$75.65,2022-08-24
71,1054,FH2052,$76.15,2022-09-03
96,1018,NH2028,$76.65,2022-08-21
5,1075,AF2080,$77.15,2022-09-30
67,1045,XD2056,$77.65,2022-08-20
39,1040,RR2048,$78.15,2022-11-04
43,1020,WJ2087,$78.65,2022-09-21
94,1025,WF2058,$79.15,2022-08-23
7,1004,YW2041,$79.65,2022-10-27
85,1025,DY2011,$80.15,2022-09-20
19,1059,DY2011,$80.65,2022-09-30
1,1014,WJ2087,$81.15,2022-10-18
82,1087,YL2029,$81.65,2022-09-09
92,1097,YH2008,$82.15,2022-11-08
49,1007,YC2054,$82.65,2022-10-11
87,1060,OY2036,$83.15,2022-09-13
6,1046,OO2049,$83.65,2022-08-19
52,1017,YN2023,$84.15,2022-08-31
38,1044,NK2051,$84.65,2022-09-19
93,1052,KW2072,$85.15,2022-09-01
90,1007,YT2014,$85.65,2022-11-06
15,1053,YC2054,$86.15,2022-09-03
54,1050,RQ2089,$86.65,2022-09-26
65,1050,CC2100,$87.15,2022-10-29
77,1082,AJ2001,$87.65,2022-08-28
3,1093,DB2032,$88.15,2022-09-10
24,1062,RR2048,$88.65,2022-08-04
11,1015,YH2008,$89.15,2022-09-26
29,1081,XK2020,$89.65,2022-09-18
14,1094,GD2077,$90.15,2022-10-24
79,1031,KV2024,$90.65,2022-08-24
56,1082,WS2018,$91.15,2022-09-24
17,1053,TP2093,$91.65,2022-10-19
31,1020,AN2096,$92.15,2022-10-11
60,1094,XK2020,$92.65,2022-10-20
23,1035,CA2010,$93.15,2022-10-21
34,1076,XD2056,$93.65,2022-09-20
28,1009,KW2072,$94.15,2022-09-28
25,1048,BT2035,$94.65,2022-09-23
81,1047,EE2067,$95.15,2022-08-19
30,1093,FH2052,$95.65,2022-09-04
27,1098,XD2056,$96.15,2022-09-01
63,1017,SA2071,$96.65,2022-10-11
74,1089,ZK2065,$97.15,2022-08-12
10,1086,OO2057,$97.65,2022-11-05
22,1021,WR2084,$98.15,2022-11-10
50,1073,DB2032,$98.65,2022-09-07
73,1097,AF2080,$99.15,2022-10-11
62,1042,IJ2094,$99.65,2022-11-06
57,1097,GB2059,$100.2,2022-10-20
44,1032,NO2037,$100.7,2022-08-29
8,1006,WF2058,$101.2,2022-10-07
9,1084,AS2021,$101.7,2022-09-26
55,1050,VZ2022,$102.2,2022-08-12
33,1095,KA2078,$102.7,2022-09-15
76,1055,KQ2031,$103.2,2022-10-17
13,1028,YC2054,$103.7,2022-09-24
95,1099,HG2013,$104.2,2022-10-06
97,1003,WR2084,$104.7,2022-08-29
70,1008,JW2044,$105.2,2022-08-04
84,1090,CF2039,$105.7,2022-09-05
12,1076,JE2046,$106.2,2022-09-20
89,1006,YW2041,$106.7,2022-11-11
100,1086,"NA2092",$107.2,2022-08-07
48,1098,MB2070,$107.7,2022-08-16
61,1078,RQ2089,$108.2,2022-11-05
59,1099,MO2063,$108.7,2022-08-16
35,1072,"NA2092",$109.2,2022-09-03
78,1075,ZK2065,$109.7,2022-09-14
53,1076,MG2075,$110.2,2022-08-16
91,1071,JC2097,$110.7,2022-11-08
69,1032,DT2085,$111.2,2022-08-26
58,1063,FH2006,$111.7,2022-11-09
16,1034,NH2028,$112.2,2022-10-25
68,1053,YW2041,$112.7,2022-09-02
75,1014,YT2014,$113.2,2022-10-28
46,1006,GD2077,$113.7,2022-08-28
98,1011,KQ2098,$114.2,2022-09-18
86,1007,BT2035,$114.7,2022-09-15
80,1080,WR2084,$115.2,2022-09-25
18,1034,GD2077,$115.7,2022-08-10
42,1062,CF2039,$116.2,2022-08-09
45,1058,SQ2017,$116.7,2022-08-31
47,1066,LO2002,$117.2,2022-09-15
72,1038,SL2069,$117.7,2022-11-02
26,1086,"NA2092",$118.2,2022-11-06
66,1058,RR2048,$118.7,2022-08-26
41,1001,YN2023,$119.2,2022-09-12
36,1051,HG2013,$119.7,2022-09-20
40,1040,ZK2065,$120.2,2022-11-06
32,1055,EE2067,$120.7,2022-09-25
88,1090,EE2053,$121.2,2022-10-18
20,1093,GD2077,$121.7,2022-09-10
99,1035,XI2064,$122.2,2022-08-29
51,1029,AF2080,$122.7,2022-09-08
2,1068,BT2035,$123.2,2022-08-20
21,1083,OY2036,$123.7,2022-11-09
37,1052,NO2037,$124.2,2022-08-11
83,1029,EE2067,$124.7,2022-08-26
